NUM_SOLICITUD,SUCURSAL,STATUS_SOLICITUD,PUNTO_DECISION,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,CUENTA_ASIGNADA,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,PEOR_MOP_TARJETAS,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,PEOR_HISTORIA_CREDITO,SUMA_SALDOS_TOTAL,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
2.01E+16,435,Rechazada,PS1,Rechazado,MALO,0,,,,,31480,PAGOS PROV SEMESTRALES PF,#N/A,NO_CLIENTE,0,Alto,0%,3,94,0,0,0,0,0,0,0,41,Familiares,Preparatoria
2.01E+16,796,Rechazada,PS1,Rechazado,MALO,0,,,,,27605,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,3,94,0,0,0,0,0,0,0,41,Hipoteca,Posgrado
2.01E+16,194,Rechazada,PS1,Rechazado,MALO,0,,,,,37489,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,94,0,0,0,0,0,9394,0,41,Propia,Licenciatura
2.01E+16,4073,Rechazada,PS1,Rechazado,MALO,0,,,,,36443,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,4,94,0,0,0,0,0,0,0,41,Familiares,Posgrado
2.01E+16,4866,Rechazada,PS1,Rechazado,MALO,0,,,,,32384,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,94,0,0,0,0,0,0,0,41,Familiares,Preparatoria
2.01E+16,5111,En_proceso,CN0,Rechazado,MALO,0,,,,,28263,RECIBOS DE NOMINA,Medio D,NO_CLIENTE,0,Alto,0%,5,94,0,0,0,0,0,0,0,41,Renta,Licenciatura
2.01E+16,4424,Rechazada,CN0,Rechazado,MALO,0,,,,,38202,RECIBOS DE NOMINA,Alto B,CLIENTE_BANCO,0,Alto,0%,5,94,0,0,0,0,0,0,0,41,Familiares,Preparatoria
2.01E+16,739,Rechazada,PS1,Rechazado,MALO,0,,,,,35722,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,95,0,0,0,0,0,0,0,41,Familiares,Posgrado
2.01E+16,383,Rechazada,PS1,Rechazado,MALO,0,,,,,33239,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,3,95,0,1,927,250,0,0,0,41,Propia,Posgrado
2.01E+16,112,Rechazada,PS1,Rechazado,MALO,0,,,,,26189,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,95,0,0,0,0,0,0,0,41,Renta,Posgrado
2.01E+16,223,Rechazada,PS1,Rechazado,MALO,0,,,,,36552,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,5,95,0,0,0,0,0,0,0,41,Hipoteca,Posgrado
2.01E+16,4348,Rechazada,PS1,Rechazado,MALO,0,,,,,32416,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,5,95,0,0,0,0,0,0,0,41,Hipoteca,Preparatoria
2.01E+16,7418,Rechazada,PS1,Rechazado,MALO,0,,,,,28320,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,96,0,0,0,0,0,0,0,41,Hipoteca,Licenciatura
2.01E+16,236,Rechazada,PS1,Rechazado,MALO,0,,,,,38316,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,2,96,0,0,0,0,0,0,0,41,Renta,Posgrado
2.01E+16,7568,Rechazada,PS1,Rechazado,MALO,0,,,,,35757,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,96,0,0,0,0,0,0,0,41,Propia,Posgrado
2.01E+16,9287,Rechazada,PS1,Rechazado,MALO,0,,,,,33306,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,1,96,0,0,0,0,0,0,0,41,Familiares,Licenciatura
2.01E+16,8117,Rechazada,PS1,Rechazado,MALO,0,,,,,26268,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,3,96,0,0,0,0,0,0,0,41,Renta,Preparatoria
2.01E+16,133,Rechazada,PS1,Rechazado,MALO,0,,,,,36589,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,97,0,0,0,0,0,0,0,41,Propia,Posgrado
